85,18,메시지 첨부파일 다운로드,메시지 관리 & 통계 > CS비즈챗 > MT 요청 메시지 조회 > 메시지 첨부파일 다운로드,/csMate/attachDownload,F,ADMIN,1,5,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
86,19,MO 메시지 상세정보,메시지 관리&통계 > CS비즈챗 > MO 메시지 조회 > MO 메시지 상세정보,/csMate/moDetail,P,ADMIN,1,4,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
87,15,MT요청목록 엑셀 다운로드,메시지 관리 & 통계 > 알림비즈챗 > MT 요청 메시지 조회 > MT요청목록 엑셀 다운로드,/notiMate/downloadExcel,F,ADMIN,1,5,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
88,16,MO 메시지 목록 엑셀 다운로드,메시지 관리 & 통계 > 알림비즈챗 > MO 메시지 조회 > MO메시지목록 엑셀 다운로드,/notiMate/downloadExcel,F,ADMIN,1,5,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
89,18,MT요청목록 엑셀 다운로드,메시지 관리 & 통계 > CS비즈챗 > MT 요청 메시지 조회 > MT요청목록 엑셀 다운로드,/csMate/downloadExcel,F,ADMIN,1,5,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
90,19,MO 메시지 목록 엑셀 다운로드,메시지 관리 & 통계 > CS비즈챗 > MO 메시지 조회 > MO메시지목록 엑셀 다운로드,/csMate/downloadExcel,F,ADMIN,1,5,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
92,6,1:1문의 관리,운영 관리 > 1:1문의 관리,/qna/list,M,ADMIN,4,2,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
93,92,1:1문의 상세정보,운영 관리 > 1:1문의 관리 > 1:1문의 상세정보,/qna/detail,P,ADMIN,1,3,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
96,6,다운로드 관리,운영 관리 > 다운로드 관리,/downloadMgmt/list,M,ADMIN,5,2,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
97,96,다운로드 상세정보,운영 관리 > 다운로드 관리 > 다운로드 상세정보,/downloadMgmt/detail,P,ADMIN,1,3,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
